사업자번호,최종평판점수,일반 평판 환산 점수,미래 평판 환산 점수,사회적 책임 환산 점수,대중 평판 점수,고용 평판 점수,신용 평판 점수,기업 프로파일 점수,사업계획 점수,경제적 책임 점수,법률적 책임 점수,윤리적 책임 점수,자선적 책임 점수,
7521,55.75,47.16981132,63.54166667,91.24087591,50,50,30,80,50,100,100,100,50,
6258,49.625,47.16981132,50.52083333,69.34306569,50,50,30,55,50,50,100,100,50,
9294,59,50.94339623,68.75,91.24087591,50,50,40,80,60,100,100,100,50,
7523,53.75,43.39622642,63.54166667,91.24087591,60,50,10,80,50,100,100,100,50,
8835,56.75,49.05660377,63.54166667,91.24087591,55,50,30,80,50,100,100,100,50,
8349,65.8,66.03773585,68.75,82.48175182,50,100,30,70,70,80,100,100,50,
8970,55.05,41.13207547,73.95833333,91.24087591,50,44,20,80,70,100,100,100,50,
397,63.45,56.98113208,73.95833333,91.24087591,50,46,60,80,70,100,100,100,50,
7747,55.125,41.13207547,81.77083333,78.10218978,50,34,30,65,100,70,100,100,50,
4587,49.725,38.11320755,60.9375,86.86131387,50,36,20,75,50,90,100,100,50,
9302,53.825,43.39622642,71.35416667,78.10218978,50,50,20,65,80,70,100,100,50,
3189,54.575,47.16981132,66.14583333,78.10218978,50,20,60,65,70,70,100,100,50,
9301,54.2375,54.71698113,51.82291667,71.53284672,50,50,50,57.5,50,55,100,100,50,
4117,52.05,49.05660377,58.33333333,66.05839416,55,50,30,60,60,60,70,90,55,
7168,59.75,45.28301887,84.375,91.24087591,45,50,30,80,90,100,100,100,50,
6082,50.2375,47.16981132,51.82291667,71.53284672,50,50,30,57.5,50,55,100,100,50,
6292,66.775,58.49056604,86.97916667,86.86131387,50,50,60,75,100,90,100,100,50,
5337,47.3,35.8490566,58.33333333,82.48175182,50,40,10,70,50,80,100,100,50,
6288,50.625,49.05660377,50.52083333,69.34306569,55,50,30,55,50,50,100,100,50,
6302,51.2375,49.05660377,51.82291667,71.53284672,55,50,30,57.5,50,55,100,100,50,
9309,55.35,50.94339623,63.54166667,73.72262774,60,50,30,60,70,60,100,100,50,
7870,54.2375,54.71698113,51.82291667,71.53284672,80,50,20,57.5,50,55,100,100,50,
7537,50.85,47.16981132,53.125,73.72262774,50,50,30,60,50,60,100,100,50,
9313,55.75,47.16981132,63.54166667,91.24087591,50,50,30,80,50,100,100,100,50,
4711,56.05,47.16981132,63.54166667,93.43065693,60,50,20,80,50,100,100,100,60,
8399,47.65,41.13207547,53.125,73.72262774,50,44,20,60,50,60,100,100,50,
9316,61.35,62.26415094,63.54166667,73.72262774,50,50,70,60,70,60,100,100,50,
9317,55.75,47.16981132,63.54166667,91.24087591,50,50,30,80,50,100,100,100,50,
8984,50.85,47.16981132,53.125,73.72262774,50,50,30,60,50,60,100,100,50,
8985,59.625,66.03773585,50.52083333,69.34306569,50,100,30,55,50,50,100,100,50,
6300,61.4875,56.60377358,77.86458333,71.53284672,45,80,30,57.5,100,55,100,100,50,
5025,54.2375,54.71698113,51.82291667,71.53284672,60,50,40,57.5,50,55,100,100,50,
7542,50.2375,47.16981132,51.82291667,71.53284672,50,50,30,57.5,50,55,100,100,50,
7881,53.8,45.66037736,68.75,73.72262774,50,46,30,60,80,60,100,100,50,
7877,55.75,47.16981132,63.54166667,91.24087591,50,50,30,80,50,100,100,100,50,
9324,57.75,50.94339623,63.54166667,91.24087591,60,50,30,80,50,100,100,100,50,
7177,62.025,56.60377358,71.35416667,86.86131387,55,70,30,75,70,90,100,100,50,
9329,58.2375,62.26415094,51.82291667,71.53284672,50,50,70,57.5,50,55,100,100,50,
9005,49.625,47.16981132,50.52083333,69.34306569,50,50,30,55,50,50,100,100,50,
9008,62.85,69.81132075,53.125,73.72262774,50,50,90,60,50,60,100,100,50,
6319,49.625,47.16981132,50.52083333,69.34306569,50,50,30,55,50,50,100,100,50,
7887,50.075,43.39622642,55.72916667,78.10218978,50,50,20,65,50,70,100,100,50,
5740,55.575,49.05660377,66.14583333,78.10218978,55,40,40,65,70,70,100,100,50,
7889,51.75,39.62264151,63.54166667,91.24087591,50,50,10,80,50,100,100,100,50,
5886,55.85,56.60377358,53.125,73.72262774,65,50,40,60,50,60,100,100,50,
8414,48.625,45.28301887,50.52083333,69.34306569,55,50,20,55,50,50,100,100,50,
5817,63.2375,71.69811321,51.82291667,71.53284672,45,50,100,57.5,50,55,100,100,50,
9358,49.9875,39.62264151,67.44791667,71.53284672,50,50,10,57.5,80,55,100,100,50,
7189,58.075,58.49056604,55.72916667,78.10218978,50,50,60,65,50,70,100,100,50,
9353,57.75,50.94339623,63.54166667,91.24087591,50,50,40,80,50,100,100,100,50,
7193,61,56.98113208,68.75,82.48175182,60,76,20,70,70,80,100,100,50,
9016,56.75,49.05660377,63.54166667,91.24087591,45,50,40,80,50,100,100,100,50,
2042,55.625,58.49056604,50.52083333,69.34306569,50,50,60,55,50,50,100,100,50,
5818,48.85,43.39622642,53.125,73.72262774,50,50,20,60,50,60,100,100,50,
7186,54.75,45.28301887,63.54166667,91.24087591,45,50,30,80,50,100,100,100,50,
7194,51.625,50.94339623,50.52083333,69.34306569,50,50,40,55,50,50,100,100,50,
6360,49.625,47.16981132,50.52083333,69.34306569,50,50,30,55,50,50,100,100,50,
8442,56.75,49.05660377,63.54166667,91.24087591,55,50,30,80,50,100,100,100,50,
8454,48.2375,43.39622642,51.82291667,71.53284672,50,50,20,57.5,50,55,100,100,50,
6371,50.2375,47.16981132,51.82291667,71.53284672,50,50,30,57.5,50,55,100,100,50,
9020,57.75,50.94339623,63.54166667,91.24087591,60,50,30,80,50,100,100,100,50,
9023,53.35,47.16981132,63.54166667,73.72262774,50,50,30,60,70,60,100,100,50,
9026,54.1,47.16981132,63.54166667,79.19708029,60,50,20,80,50,100,60,80,55,
9025,55.75,47.16981132,63.54166667,91.24087591,50,50,30,80,50,100,100,100,50,
6725,51.625,50.94339623,50.52083333,69.34306569,60,50,30,55,50,50,100,100,50,
6386,52.2375,50.94339623,51.82291667,71.53284672,50,50,40,57.5,50,55,100,100,50,
8461,53.75,43.39622642,63.54166667,91.24087591,50,60,10,80,50,100,100,100,50,
3071,65.4875,73.58490566,57.03125,71.53284672,50,50,100,57.5,60,55,100,100,50,
1925,63.075,58.49056604,76.5625,78.10218978,50,50,60,65,90,70,100,100,50,
4619,52.275,38.11320755,76.5625,78.10218978,50,26,30,65,90,70,100,100,50,
7202,55.75,47.16981132,63.54166667,91.24087591,50,50,30,80,50,100,100,100,50,
8471,49.625,47.16981132,50.52083333,69.34306569,50,50,30,55,50,50,100,100,50,
6376,53.75,43.39622642,63.54166667,91.24087591,50,50,20,80,50,100,100,100,50,
9044,50.85,47.16981132,53.125,73.72262774,50,50,30,60,50,60,100,100,50,
8478,48.2375,43.39622642,51.82291667,71.53284672,50,50,20,57.5,50,55,100,100,50,
6396,45.3,32.0754717,58.33333333,82.48175182,50,20,20,70,50,80,100,100,50,
5819,50.525,41.88679245,60.9375,78.10218978,50,26,40,65,60,70,100,100,50,
7217,50.2375,47.16981132,51.82291667,71.53284672,50,50,30,57.5,50,55,100,100,50,
6401,56.4875,47.16981132,77.86458333,71.53284672,50,50,30,57.5,100,55,100,100,50,
9047,62.625,60,71.35416667,78.10218978,50,64,50,65,80,70,100,100,50,
3074,60.325,60.37735849,60.9375,78.10218978,55,50,60,65,60,70,100,100,50,
6403,56.35,47.16981132,63.54166667,95.62043796,50,50,30,80,50,100,100,100,70,
7215,55.75,47.16981132,63.54166667,91.24087591,50,50,30,80,50,100,100,100,50,
8484,49.75,35.8490566,63.54166667,91.24087591,50,20,30,80,50,100,100,100,50,
9397,48.625,45.28301887,50.52083333,69.34306569,55,50,20,55,50,50,100,100,50,
9396,49.625,47.16981132,50.52083333,69.34306569,50,50,30,55,50,50,100,100,50,
9394,49.4875,43.39622642,57.03125,71.53284672,50,50,20,57.5,60,55,100,100,50,
7581,65,62.26415094,68.75,91.24087591,50,60,60,80,60,100,100,100,50,
8497,58.8,55.09433962,68.75,73.72262774,65,66,20,60,80,60,100,100,50,
3944,53.1,49.05660377,58.33333333,73.72262774,45,50,40,60,60,60,100,100,50,
